state,facility_name,permit_number,violation_date,violation_type,parameter,status,source_file
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251101_081813.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251218_082336.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250813_085603.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250930_082112.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251120_082223.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251120_082223.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250831_081745.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20250917_081946.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260119_082736.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20251207_081938.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20250830_081735.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251102_081727.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260112_082634.csv
PA,Sample PA Facility,PA0000001,2024-01-20,NPDES Violation,,Active,PA_violations_20260108_082507.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250817_081943.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251212_082403.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20260105_082730.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251226_082235.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251116_081918.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20251014_081923.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20250922_082113.csv
MD,Sample MD Facility,MD0000001,2024-01-25,Water Quality Violation,Total Nitrogen,Under Review,MD_violations_20251003_081915.csv
VA,Sample VA Facility,VA0000001,2024-01-15,Effluent Limit Exceedance,,Unresolved,VA_violations_20260123_082445.csv
